inf_mean,inf_upper,inf_lower,daily_cases,mobility_mean,mask_use_mean,cumulative_all_fully_vaccinated,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper
34.2,65.16,11.19,14,-14.032,0.9108,23,38.93,38.78,39.08
33.06,62.22,11,30,-14.0161,0.9096,32,38.96,38.81,39.11
32.04,61.69,10.42,40,-13.9781,0.9087,72,38.99,38.84,39.14
30.43,59.74,9.55,38,-13.9081,0.9078,75,39.02,38.87,39.17
28.64,57.66,9.26,15,-13.8043,0.9076,77,39.05,38.9,39.2
27.08,54.5,8.91,10,-13.6724,0.9088,80,39.08,38.93,39.23
25.51,49.63,8.64,48,-13.5194,0.9092,81,39.11,38.96,39.26
24.29,46.38,8.33,44,-13.3479,0.91,97,39.14,38.99,39.29
23.27,44.44,7.93,14,-13.1567,0.9111,106,39.17,39.02,39.32
22.09,42.62,7.37,25,-12.9498,0.9123,113,39.2,39.05,39.35
20.68,40.89,6.73,34,-12.7407,0.9137,131,39.23,39.08,39.38
19.06,38.73,6.19,24,-12.5521,0.915,859,39.26,39.11,39.41
17.35,35.76,5.66,58,-12.4134,0.916,1188,39.29,39.14,39.44
15.66,32.13,5.33,29,-12.3523,0.9176,1316,39.32,39.17,39.47
14.3,28.63,5.2,29,-12.3865,0.9198,3429,39.35,39.2,39.5
13.31,25.39,5.09,19,-12.5255,0.9212,5951,39.38,39.23,39.53
12.63,22.85,5.06,18,-12.7774,0.9218,9687,39.41,39.26,39.56
12.3,21.58,5.06,22,-13.1526,0.923,14118,39.44,39.29,39.59
12.11,20.86,5.01,25,-13.6615,0.9234,19393,39.47,39.32,39.62
12.03,20.49,5.08,26,-14.3092,0.9233,21072,39.5,39.35,39.65
12.05,20.36,5.07,24,-15.0852,0.9228,21751,39.53,39.38,39.68
12.13,20.39,4.95,22,-15.9532,0.9218,29352,39.56,39.41,39.71
12.63,21.99,5.14,11,-16.8506,0.9207,37695,39.59,39.44,39.74
13.2,21.8,5.38,15,-17.6987,0.9198,46875,39.62,39.47,39.77
13.84,21.53,5.66,12,-18.4133,0.9181,49869,39.65,39.5,39.8
15.38,22.2,5.89,18,-18.9183,0.9156,49875,39.68,39.53,39.83
17.11,24.05,7.65,9,-19.1618,0.9137,49881,39.71,39.56,39.86
18.54,24.44,9.94,14,-19.1264,0.9119,53864,39.74,39.59,39.89
20,25.45,14.05,9,-18.8287,0.9092,64880,39.77,39.62,39.92
20.74,26.51,12.75,1,-18.3091,0.9068,79067,39.8,39.65,39.95
20.85,28.27,8.83,11,-17.6269,0.9051,94746,39.83,39.68,39.98
20.67,28.98,6.7,11,-16.85,0.9032,109242,39.86,39.71,40.01
19.41,29.84,6.21,14,-16.0456,0.901,123727,39.89,39.74,40.04
17.8,29.96,6.18,12,-15.273,0.899,131417,39.92,39.77,40.07
16.53,28.25,5.95,11,-14.5761,0.8968,137420,39.95,39.8,40.1
15.15,27.52,5.69,10,-13.9772,0.8955,149262,39.98,39.83,40.13
13.89,26.68,5.07,4,-13.4806,0.8945,161289,40.01,39.86,40.16
13.03,25.4,4.97,7,-13.0824,0.8931,173198,40.04,39.89,40.19
12.25,22.67,4.95,10,-12.7769,0.8916,183298,40.07,39.92,40.22
11.78,20.43,5.01,13,-12.5592,0.8907,194219,40.1,39.95,40.25
11.68,19.49,5.09,12,-12.4242,0.8904,199787,40.13,39.98,40.28
11.76,19.29,5.15,11,-12.3624,0.8899,202410,40.16,40.01,40.31
11.97,19.69,5.18,12,-12.3546,0.8897,205821,40.19,40.04,40.34
12.34,20.17,5.3,8,-12.3746,0.8909,209277,40.22,40.07,40.37
12.9,20.77,5.45,23,-12.3993,0.8925,212107,40.25,40.1,40.4
13.51,21.87,5.53,19,-12.4135,0.8938,213847,40.28,40.13,40.43
13.95,23.35,5.61,9,-12.4122,0.895,214794,40.31,40.16,40.46
14.24,24.49,5.82,13,-12.3988,0.8961,215452,40.34,40.19,40.49
14.51,24.92,6.01,13,-12.3782,0.8978,215885,40.37,40.22,40.52
14.76,24.55,6.03,13,-12.3503,0.8994,217373,40.4,40.25,40.55
15,25.16,5.98,6,-12.3116,0.9009,219332,40.43,40.28,40.58
15.25,26.22,6.08,10,-12.2614,0.9016,222143,40.53,40.38,40.68
15.56,26.74,6.24,8,-12.2054,0.9018,225569,40.7,40.55,40.85
15.89,26.84,6.33,10,-12.1565,0.9027,230522,40.87,40.73,41.03
16.41,27.41,6.49,8,-12.1307,0.9027,233991,41.05,40.9,41.2
17.44,28.65,6.77,17,-12.1376,0.9023,235808,41.22,41.07,41.37
18.87,31.05,7.05,12,-12.1684,0.9028,241843,41.39,41.25,41.55
20.69,34.5,7.5,11,-12.1996,0.9027,249093,41.57,41.42,41.72
22.84,38.51,8.03,9,-12.2097,0.903,256724,41.67,41.52,41.82
24.56,42.19,8.26,15,-12.1902,0.9023,264513,41.7,41.55,41.85
25.55,44.79,8.71,15,-12.1487,0.9019,274184,41.73,41.58,41.88
26.07,47.49,9.38,17,-12.1057,0.9021,282583,41.76,41.61,41.91
26.04,47.33,9.34,12,-12.0829,0.9026,288291,41.79,41.64,41.94
25.74,46.5,9.24,12,-12.0878,0.9037,298394,41.82,41.67,41.97
25.27,45.9,8.92,13,-12.1157,0.9039,308184,41.85,41.7,42
24.65,45.6,8.87,15,-12.1616,0.9038,318913,41.88,41.73,42.03
24.5,45.05,9,17,-12.2278,0.9034,331147,41.91,41.76,42.06
24.81,43.14,8.78,12,-12.3253,0.9022,345514,41.94,41.79,42.09
25.2,43.43,8.78,23,-12.4687,0.9017,354325,41.97,41.82,42.12
25.51,45.63,8.99,12,-12.6677,0.9005,359355,42,41.85,42.15
25.66,47.34,9.12,21,-12.9204,0.9006,372594,42.03,41.88,42.18
26.07,47.03,9.4,26,-13.2143,0.9002,388603,42.06,41.91,42.21
26.61,45.38,9.61,34,-13.5353,0.8994,407443,42.09,41.94,42.24
27.59,43.47,9.98,26,-13.5353,0.8987,427070,42.12,41.97,42.27
29.73,46.57,11.3,43,-13.5646,0.8979,443637,42.15,42,42.3
31.95,48.12,14.32,18,-13.4892,0.8977,465898,42.18,42.03,42.33
33.3,49.18,19.15,10,-13.3255,0.8983,482645,42.21,42.06,42.36
33.84,49.43,20.71,17,-13.0965,0.8997,508047,42.24,42.09,42.39
33.48,49.01,18.01,24,-12.8209,0.9019,533398,42.27,42.12,42.42
32.71,47.86,13.73,35,-12.521,0.9035,561641,42.3,42.15,42.45
31.63,47.6,10.33,21,-12.2245,0.9054,591087,42.33,42.18,42.48
30.24,47.89,10.43,26,-11.9631,0.9067,627270,42.36,42.21,42.51
29.42,47.64,10.76,32,-11.7669,0.9084,659682,42.39,42.24,42.54
29.12,47.25,10.15,20,-11.6527,0.9088,685628,42.42,42.27,42.57
29.39,50.35,10.55,25,-11.6123,0.9095,714751,42.45,42.3,42.6
30.11,52.93,10.59,14,-11.6166,0.91,738869,42.48,42.33,42.63
30.46,54.8,10.92,27,-11.6338,0.9103,759926,42.51,42.36,42.66
30.65,55.88,11.21,16,-11.6425,0.9097,780805,42.54,42.39,42.69
30.47,55.14,10.83,34,-11.6358,0.9079,804710,42.57,42.42,42.72
29.64,54.6,10.3,39,-11.6193,0.9055,826970,42.6,42.45,42.75
29.51,54.63,11.1,23,-11.6019,0.9033,842685,42.63,42.48,42.78
29.33,51.82,11.04,20,-11.5865,0.9018,873535,42.66,42.51,42.81
28.93,48.04,11,14,-11.5698,0.9,898072,42.69,42.54,42.84
30.03,47.51,11.78,15,-11.5511,0.8983,918594,42.72,42.57,42.87
31.21,44.67,14.74,24,-11.5371,0.8988,938201,42.75,42.6,42.9
31.48,43.97,19.04,39,-11.5424,0.8985,959923,42.78,42.63,42.93
31.67,43.14,22.16,23,-11.5857,0.8979,984724,42.81,42.66,42.96
31.02,41.67,17.89,40,-11.6804,0.8974,1003668,42.84,42.69,42.99
30.14,40.09,12.34,45,-11.8249,0.8974,1030608,42.87,42.72,43.02
30.08,39.88,10.31,12,-12.0056,0.8989,1056048,42.9,42.75,43.05
30.23,41.12,13.42,23,-12.2076,0.9,1078058,43,42.85,43.15
30.56,42.52,13.45,35,-12.4199,0.9012,1097896,43.17,43.02,43.32
32.12,45.98,14.22,24,-12.6347,0.9014,1121059,43.34,43.2,43.5
35.35,49.6,14.73,34,-12.8464,0.9022,1134745,43.52,43.37,43.67
39.06,53.38,17.69,39,-13.0517,0.9031,1151662,43.69,43.54,43.84
42.49,57.51,23.01,17,-13.2577,0.9029,1163540,43.86,43.72,44.02
44.98,61.18,28,17,-13.48,0.9031,1175575,44.04,43.89,44.19
45.41,64.81,24.88,16,-13.7507,0.9038,1189956,44.14,43.99,44.29
44.85,66.4,18.65,18,-14.116,0.9042,1203167,44.17,44.02,44.32
44.15,65.81,20.96,25,-14.6317,0.9043,1219956,44.2,44.05,44.35
41.95,64.7,23.36,20,-15.3532,0.9036,1236044,44.23,44.08,44.38
39.79,62.39,20.95,28,-16.3201,0.9037,1249888,44.26,44.11,44.41
39.62,58.41,23.5,19,-17.5423,0.9033,1267312,44.29,44.14,44.44
39.89,57.67,18.96,25,-18.9999,0.9039,1288184,44.32,44.17,44.47
39.9,56.01,23.84,16,-20.653,0.9044,1307691,44.35,44.2,44.5
40.05,55.38,27.7,34,-22.4492,0.9046,1307794,44.38,44.23,44.53
39,52.47,22.1,52,-24.3365,0.9046,1347703,44.41,44.26,44.56
37.2,51.17,15.36,31,-26.2803,0.9052,1373834,44.44,44.29,44.59
35.24,50.56,11.2,49,-28.2384,0.9057,1397349,44.47,44.32,44.62
32.31,49.92,10.7,28,-30.1462,0.9075,1420506,44.57,44.42,44.72
29.62,47.62,10.77,38,-31.9336,0.9091,1442501,44.74,44.59,44.89
27.86,44.61,10.14,38,-33.5396,0.9109,1464416,44.91,44.77,45.07
27.16,45.8,11.04,41,-34.9202,0.9128,1487564,45.09,44.94,45.24
27.05,45.12,11.02,40,-36.0547,0.9155,1515672,45.26,45.11,45.41
27.23,42.74,11.02,29,-36.9438,0.9179,1546996,45.43,45.29,45.59
28.45,41.9,11.41,25,-37.5974,0.9197,1572489,45.61,45.46,45.76
29.58,40.2,14.32,36,-38.0174,0.9215,1593057,45.71,45.56,45.86
30.17,41.1,18.2,30,-38.1986,0.9239,1614222,45.74,45.59,45.89
30.32,45.1,20.75,26,-38.1408,0.9256,1628305,45.77,45.62,45.92
29.52,40.82,20.38,24,-37.8644,0.927,1650566,45.87,45.72,46.02
29.9,48.27,19.84,30,-37.4244,0.9277,1674039,46.04,45.89,46.19
31.04,51.77,19.61,33,-36.8938,0.9288,1694805,46.21,46.07,46.37
30.6,51.34,19.99,25,-36.3402,0.9294,1712740,46.39,46.24,46.54
29.9,43.54,21.45,23,-35.805,0.9295,1742258,46.56,46.41,46.71
29.1,48.74,17.37,18,-35.3045,0.9296,1763079,46.73,46.59,46.89
28.09,40.4,11.55,31,-34.8436,0.9287,1774031,46.91,46.76,47.06
27.27,36.66,9.29,45,-34.4265,0.9278,1782725,47.01,46.86,47.16
25.25,36.89,8.39,13,-34.0622,0.9276,1802047,47.04,46.89,47.19
22.7,36.76,8.43,18,-33.7642,0.927,1826016,47.14,46.99,47.29
20.9,35.33,8.45,20,-33.5396,0.9266,1846828,47.31,47.16,47.46
19.43,32,8.31,14,-33.3751,0.9264,1862060,47.48,47.34,47.64
18.53,30.63,8.1,9,-33.2408,0.9262,1878219,47.66,47.51,47.81
18.38,30.56,8.1,4,-33.1066,0.9248,1893381,47.83,47.68,47.98
18.31,30.08,8.08,13,-32.9525,0.9242,1905019,48,47.86,48.16
18.2,30.08,8.01,9,-32.7709,0.923,1923555,48.18,48.03,48.33
17.97,30.03,7.75,18,-32.5648,0.9211,1939159,48.28,48.13,48.43
17.51,29.77,7.51,13,-32.3357,0.9205,1951628,48.31,48.16,48.46
16.84,29.31,7.19,25,-32.068,0.9206,1967048,48.34,48.19,48.49
15.9,28.17,6.8,14,-31.7314,0.92,1982819,48.37,48.22,48.52
14.76,26.56,6.46,24,-31.2985,0.9194,1997849,48.4,48.25,48.55
13.64,24.68,6.24,27,-30.7553,0.9185,2012137,48.43,48.28,48.58
12.72,22.31,6.25,16,-30.1052,0.9174,2030121,48.53,48.38,48.68
12.16,19.93,6.3,21,-29.3687,0.9163,2047152,48.7,48.55,48.85
11.85,18.14,6.19,11,-28.5741,0.9162,2059602,48.87,48.73,49.03
11.95,18.71,6.14,16,-27.7409,0.9163,2071679,49.05,48.9,49.2
13.07,21.2,6.62,18,-26.8783,0.9165,2083866,49.22,49.07,49.37
14.22,26.26,6.78,22,-25.9949,0.9171,2095245,49.46,49.32,49.62
15.39,26.86,7.54,23,-25.1057,0.9171,2105944,49.78,49.63,49.93
17.94,29.03,7.51,20,-24.2358,0.9164,2117307,50.02,49.88,50.18
20.9,31.1,9.29,17,-23.4187,0.9156,2127016,50.2,50.05,50.35
23.67,33.03,10.46,14,-22.6823,0.9148,2134409,50.37,50.22,50.52
26.93,36.57,17.83,9,-22.0309,0.9138,2144681,50.54,50.4,50.7
29.87,41.78,19.23,10,-21.4481,0.9131,2153919,50.72,50.57,50.87
33.55,49.77,15.76,16,-20.9148,0.9124,2164747,50.82,50.67,50.97
39.22,61.25,21.65,10,-20.4217,0.9113,2183341,50.85,50.7,51
45.79,74.72,24.93,10,-19.9724,0.9091,2203263,50.88,50.73,51.03
56.5,106.45,22.5,7,-19.5764,0.9075,2221441,50.91,50.76,51.06
73.31,134.91,25.33,11,-19.2369,0.9058,2239926,50.94,50.79,51.09
93.13,160.53,32.28,13,-18.9372,0.9039,2257001,50.97,50.82,51.12
115.06,185.25,43.55,10,-18.6484,0.9025,2273219,51,50.85,51.15
136.88,201.19,64.06,12,-18.3479,0.9015,2291070,51.03,50.88,51.18
155.24,220.06,80.84,16,-18.0271,0.9003,2310143,51.06,50.91,51.21
169.99,238.33,98.92,10,-17.692,0.8994,2337126,51.09,50.94,51.24
177.9,252.33,106.77,6,-17.3611,0.8981,2363907,51.12,50.97,51.27
177.64,260.13,100.15,8,-17.0542,0.8971,2392709,51.15,51,51.3
173.48,258.72,97.96,26,-16.7803,0.8956,2424353,51.18,51.03,51.33
166.27,250.79,90.78,26,-16.5405,0.8954,2457540,51.21,51.06,51.36
157.63,239.09,80.69,60,-16.3441,0.8957,2497223,51.24,51.09,51.39
150.78,229.14,75.08,48,-16.2161,0.8962,2542133,51.27,51.12,51.42
145.32,220.85,70.47,61,-16.196,0.8969,2600947,51.3,51.15,51.45
140.8,218.27,73.77,68,-16.3296,0.8975,2658633,51.33,51.18,51.48
137.25,215.1,75.35,92,-16.6537,0.8971,2709615,51.36,51.21,51.51
134.42,210.39,73.79,172,-17.1793,0.897,2740389,51.39,51.24,51.54
132.59,204.39,72.55,195,-17.8909,0.8975,2740819,51.42,51.27,51.57
132.06,197.53,81.78,181,-18.7576,0.8983,2794774,51.52,51.37,51.67
131.29,190.91,84.85,170,-19.7397,0.8997,2846576,51.69,51.54,51.84
129.74,183.39,88.78,133,-20.7925,0.9015,2910397,51.86,51.72,52.02
130.72,177.95,87.69,130,-21.8693,0.9028,2967534,52.04,51.89,52.19
132.69,169.57,97.68,125,-22.9231,0.9039,3016494,52.21,52.06,52.36
132.74,173.42,104.06,135,-23.9099,0.9048,3067625,52.38,52.24,52.54
132.93,167.95,109.86,139,-24.7911,0.906,3104462,52.56,52.41,52.71
130.96,160.93,105.04,136,-25.5391,0.9077,3153665,52.66,52.51,52.81
127.38,164.87,93.67,133,-26.1448,0.9104,3205715,52.69,52.54,52.84
124.92,167.2,86.93,139,-26.6184,0.913,3271622,52.79,52.64,52.94
118.83,171.28,78.83,120,-26.9829,0.9151,3335013,52.96,52.81,53.11
110.24,165.43,71.37,121,-27.2615,0.917,3390671,53.21,53.06,53.36
101.45,156.4,51.95,111,-27.4637,0.918,3447637,53.59,53.45,53.75
89.55,146.99,32.62,102,-27.5855,0.919,3501928,54.12,53.98,54.28
78.05,126.54,23.13,95,-27.6185,0.9199,3558079,54.8,54.65,54.95
67.58,115.32,16.42,98,-27.5554,0.92,3616850,55.54,55.39,55.69
57.12,99.6,15.32,97,-27.3913,0.9204,3683710,56.21,56.07,56.37
51.74,85.21,16.25,81,-27.1211,0.9201,3746312,56.85,56.7,57
52.45,83.83,15.61,78,-26.7331,0.9189,3799731,57.49,57.34,57.64
57.72,95.56,19.68,72,-26.2044,0.9173,3834052,58.02,57.87,58.17
68.28,111.79,22.31,58.5,-25.5186,0.9164,3872188,58.48,58.33,58.63
82.57,128.67,30.57,58.5,-24.6979,0.9155,3909881,58.86,58.72,59.02
98.29,145.31,41.49,59,-23.7925,0.9145,3946231,59.18,59.03,59.33
113.21,164.55,57.8,49,-22.8618,0.9136,3992635,59.49,59.35,59.65
124.82,177.97,70.89,58,-21.9631,0.9123,4038242,59.85,59.7,60
133.64,190.9,70.09,53,-21.1377,0.9111,4069391,60.27,60.12,60.42
140.35,204.61,66.52,53,-20.3976,0.9107,4088103,60.73,60.58,60.88
145.92,217.37,64.87,56,-19.7307,0.9103,4102923,61.19,61.04,61.34
152.98,231.79,67.24,53,-19.1212,0.9103,4118139,61.64,61.5,61.8
163.73,250.34,70.02,32,-18.562,0.9111,4131881,62.25,62.1,62.4
178.62,271.25,76.53,40,-18.0583,0.9124,4150411,63.06,62.91,63.21
198.68,297.12,87.76,37,-17.6226,0.9127,4165175,63.88,63.73,64.03
226.04,335.81,96.96,35,-17.2639,0.9129,4173207,64.69,64.55,64.85
262.34,387.71,119.98,98,-16.9731,0.9129,4185109,65.58,65.43,65.73
307.82,446.79,145.99,116,-16.7292,0.9131,4195058,66.5,66.36,66.66
359.71,508.89,186.45,120,-16.515,0.9138,4204620,67.57,67.42,67.72
414.98,569.01,235.06,116,-16.3282,0.9142,4213997,68.6,68.45,68.75
474.87,642.47,291.6,121.5,-16.1806,0.9143,4227874,69.41,69.27,69.57
539.63,728.38,345.7,121.5,-16.0924,0.9139,4240141,70.16,70.01,70.31
605.33,818.84,402.36,144,-16.0776,0.9134,4247901,70.76,70.61,70.91
677.48,906.5,451.27,144,-16.1311,0.9127,4256475,71.22,71.07,71.37
756.49,993.53,491.25,161,-16.2348,0.9111,4261968.173,71.57,71.42,71.72
837.08,1085.46,546.61,180,-16.372,0.9098,4265517.613,71.71,71.56,71.86
923.6,1182.96,620.4,191,-16.5335,0.9088,4268987.153,71.74,71.59,71.89
1011.4,1282.48,688.21,219,-16.7181,0.9081,4273414.553,71.77,71.62,71.92
1090.79,1378.38,754.05,259,-16.9296,0.9072,4276977.153,71.8,71.65,71.95
1171.1,1464.17,804.31,191,-17.1696,0.9061,4279004.733,71.9,71.75,72.05
1254.9,1591.23,829.38,241,-17.4218,0.9048,4282076.653,72.14,72,72.3
1335.44,1696.01,903.75,332,-17.6547,0.9036,4285213.433,72.53,72.38,72.68
1414.6,1800.15,977.76,349,-17.8409,0.9026,4288355.853,72.99,72.84,73.14
1497.72,1930.83,1038.03,457,-17.9683,0.9015,4291166.453,73.45,73.3,73.6
1595.7,2077.44,1092.7,573,-18.0437,0.9003,4294139.673,73.91,73.76,74.06
1713.13,2249.67,1150.65,555,-18.0892,0.9,4296800.813,74.36,74.22,74.52
1849.84,2431.3,1242.15,520,-18.1295,0.8995,4298320.793,74.75,74.6,74.9
1995.93,2613.25,1355.38,607,-18.1747,0.8989,4300793.933,75.07,74.92,75.22
2151.1,2823.25,1462.32,837,-18.2209,0.8991,4303286.813,75.31,75.16,75.46
2323.43,3063.79,1522.06,807,-18.265,0.899,4306253.453,75.56,75.41,75.71
2478.89,3266.37,1543.44,910,-18.3138,0.8988,4308892.973,75.87,75.72,76.02
2596.81,3505.68,1577.17,935,-18.3858,0.8983,4312428.313,76.37,76.22,76.52
2709.23,3734.17,1636.91,1009,-18.5067,0.8977,4314876.073,77.22,77.07,77.37
2820.16,3849.04,1712.76,1012,-18.6973,0.8974,4316155.413,78.46,78.31,78.61
2931.88,3999.45,1800.01,1047.5,-18.9611,0.8972,4318701.873,79.99,79.84,80.14
3065.25,4260.07,1857.57,1047.5,-19.2891,0.8971,4321057.513,81.81,81.66,81.96
3219.7,4540.96,1922.81,1457,-19.6723,0.8959,4323148.073,83.98,83.83,84.13
3386.99,4784.04,2066.33,1504,-20.1093,0.895,4325655.993,86.44,86.29,86.59
3533.35,5000.06,2159.79,1650,-20.6048,0.8942,4328706.293,89,88.86,89.16
3632.28,5239.19,2117.49,1443,-21.164,0.8925,4330753.613,91.71,91.57,91.87
3700.3,5419.31,2087.18,1939,-21.7798,0.8915,4332058.333,94.96,94.81,95.11
3731.84,5436.79,2165.1,1647,-22.4201,0.8912,4334213.753,98.56,98.41,98.71
3719.01,5352.32,2254.81,2236,-23.0344,0.8928,4336444.373,102.52,102.37,102.67
3688.49,5287.46,2259.84,2268,-23.5785,0.8939,4338549.033,106.9,106.76,107.06
3667.34,5180.05,2220.53,2478,-24.0273,0.894,4340560.633,111.65,111.5,111.8
3670.37,5100.89,2230.06,2909,-24.3772,0.8941,4342854.233,117.11,116.96,117.26
3702.15,5076.64,2294.06,2356,-24.6403,0.8938,4344356.353,123.28,123.13,123.43
3764.08,5103.57,2361.93,2057,-24.8318,0.8948,4345331.133,129.38,129.23,129.53
3839.83,5207.64,2359.98,2475,-24.9545,0.8952,4347173.533,135.2,135.05,135.35
3917.64,5376.24,2346.21,3486,-24.9996,0.8962,4349261.273,140.94,140.79,141.09
3993.24,5548.74,2389.3,3577,-24.9611,0.8971,4351490.953,147.04,146.9,147.2
4048.46,5653.99,2459.63,3483,-24.8451,0.8969,4353537.333,153.86,153.71,154.01
4094.71,5712.42,2485.57,3590,-24.6706,0.8952,4355979.453,161.03,160.88,161.18
4144.56,5771.92,2499.24,3703,-24.4658,0.8923,4358431.913,168.49,168.34,168.64
4187.63,5859.7,2523.45,2809,-24.2568,0.8899,4360605.193,176.52,176.37,176.67
4257.79,5925.52,2565.66,2263,-24.0527,0.8887,4364089.773,185.84,185.69,185.99
4343.11,5977.01,2645.23,2976,-23.8476,0.8877,4367089.313,196.15,196,196.3
4392.11,6095.89,2681.55,3190,-23.6353,0.8873,4369629.193,206.47,206.32,206.62
4424.23,6220.35,2622.94,2932,-23.4181,0.8861,4371842.893,216.64,216.49,216.79
4438.04,6277.29,2623.88,3445,-23.2081,0.8859,4374814.233,226.53,226.38,226.68
4402.43,6243.79,2651.02,3348,-23.023,0.8843,4377047.673,235.84,235.7,236
4341.86,6172.64,2603.37,3058,-22.874,0.8831,4378344.873,245.52,245.37,245.67
4264.1,6074.79,2611.79,2553,-22.7526,0.8837,4380253.073,255.9,255.76,256.06
4147.56,5973.48,2585.59,3994,-22.6357,0.8858,4381919.693,266.79,266.64,266.94
4003.34,5863.15,2479.09,3862,-22.5033,0.8879,4383445.313,277.89,277.74,278.04
3861.95,5655.33,2468.69,3439,-22.3492,0.8903,4384940.853,289.21,289.06,289.36
3728.92,5359.43,2371.9,3637,-22.1846,0.8921,4386595.253,301.52,301.38,301.68
3616.21,5065.47,2250.54,3598,-22.0336,0.8936,4387840.753,314.62,314.48,314.78
3529.48,4895.47,2209.33,3383,-21.9204,0.8944,4388754.433,327.37,327.22,327.52
3427.84,4821.44,2061.84,3174,-21.8533,0.8956,4390222.713,339.47,339.32,339.62
3330.02,4777.33,1864.53,3277,-21.8264,0.8962,4391705.093,351.64,351.5,351.8
3262.31,4729.68,1752.71,5324,-21.8346,0.8979,4392979.733,364.53,364.38,364.68
3178.63,4635.76,1656.21,3432,-21.8813,0.8992,4394349.313,377.85,377.7,378
3084.03,4676.52,1683.17,4248,-21.9779,0.8995,4396058.233,391.02,390.87,391.17
3014.34,4707.85,1632.75,3112,-22.1372,0.8991,4397520.873,404.12,403.97,404.27
2954.31,4531.26,1669.36,3163,-22.3599,0.8992,4398690.233,417.29,417.15,417.45
2913.43,4370.99,1785.96,2470,-22.6188,0.8991,4400386.933,430.75,430.6,430.9
2885.4,4225.6,1780.27,3496,-22.8631,0.899,4401797.873,443.85,443.71,444.01
2855.67,4081.25,1761.52,3635,-23.0384,0.8995,4402981.333,456.31,456.16,456.46
2835.54,4001.12,1781.06,3003,-23.1025,0.901,4403100.713,468.91,468.77,469.07
2805.48,3893.12,1801.17,1767,-23.0378,0.9022,4405187.513,481.8,481.65,481.95
2751.94,3747.97,1779.52,3035,-22.8653,0.9034,4406433.953,494.9,494.75,495.05
2678.5,3653.35,1779.38,2553,-22.6201,0.9038,4407281.833,508.57,508.43,508.73
2576.39,3587.89,1723.82,2470,-22.3229,0.9047,4408446.493,521.96,521.81,522.11
2455.05,3493.79,1635.07,3397,-21.9781,0.9051,4410037.913,535.06,534.92,535.22
2318.1,3333.23,1583.71,3481,-21.5914,0.9056,4411474.233,548.66,548.52,548.82
2179.29,3113.74,1478.9,2396,-21.1804,0.9048,4412989.513,561.91,561.76,562.06
2060.14,2904.3,1382.04,3099,-20.7753,0.9038,4414741.673,574.22,574.08,574.38
1948.55,2750.91,1331.82,2304,-20.4114,0.9031,4416093.393,586.54,586.39,586.69
1839.44,2633.69,1259.15,1723,-20.1135,0.9015,4416976.053,598.57,598.42,598.72
1733.95,2490,1167.89,2069,-19.8772,0.8997,4418443.393,610.1,609.95,610.25
1636.29,2349.61,1044.52,2069,-19.6729,0.8977,4419861.853,621.63,621.48,621.78
1536.99,2219.78,920.64,3474,-19.4691,0.8957,4421002.073,632.87,632.73,633.03
1425.91,2094.13,816.48,1886,-19.2474,0.8939,4422107.513,643.9,643.76,644.06
1314.56,2007.26,726.37,1886,-19.0074,0.8919,4423514.693,654.58,654.43,654.73
1206.98,1879.58,625.96,1931,-18.7627,0.8902,4424601.333,664.11,663.96,664.26
1099.9,1716.99,553.29,1670,-18.5257,0.8885,4425358.033,672.64,672.49,672.79
998.01,1599.5,525.44,1461,-18.2893,0.8885,4426541.493,680.52,680.38,680.68
906.53,1497.51,502.67,1782,-18.0302,0.8882,4427540.713,687.27,687.12,687.42
830.74,1363.34,470.39,2079,-17.7316,0.8874,4428546.513,692.94,692.79,693.09
770.84,1227.47,439.78,1275,-17.3965,0.8871,4429620.933,698.33,698.18,698.48
721.88,1129.74,387.29,1090,-17.0495,0.8861,4430848.573,704.22,704.07,704.37
678.59,1063.95,367.26,1761,-16.7278,0.8852,4431718.073,710.6,710.46,710.76
638.9,1014.63,347.89,747,-16.4624,0.8848,4432445.633,717.35,717.2,717.5
599.13,959.98,328.31,1103,-16.2552,0.8843,4433542.613,724.66,724.52,724.82
597.68,936.01,339.93,1239,-16.0812,0.8828,4434578.493,732.84,732.69,732.99
579.96,897.08,351.78,1324,-15.9138,0.8818,4435509.093,741.15,741,741.3
555.39,838.27,326.26,1101,-15.7393,0.881,4436544.033,749.32,749.18,749.48
537.27,795.99,290.09,766,-15.5608,0.8789,4437656.993,757.28,757.14,757.44
522.13,759.08,307.09,743,-15.3953,0.8772,4438412.753,764.88,764.74,765.04
500.7,714.98,308.97,552,-15.2569,0.876,4438986.153,772.13,771.98,772.28
489.65,688.64,321.09,662,-15.1358,0.8737,4440022.973,778.73,778.58,778.88
490.91,648.43,338.02,715,-15.0011,0.872,4440975.193,784.69,784.54,784.84
494.91,659.15,357.95,709,-14.8246,0.8705,4441911.433,790.58,790.43,790.73
503.37,706.24,359.81,682,-14.5944,0.8695,4442764.953,796.18,796.03,796.33
511.67,742.13,357.11,454,-14.318,0.8688,4443610.953,801.21,801.06,801.36
522.47,797.17,337.63,559,-14.0175,0.8698,4444209.733,806.09,805.95,806.25
536.43,816.77,328.54,370,-13.7143,0.8712,4444655.293,810.84,810.69,810.99
542.15,857.58,309.09,339,-13.407,0.8714,4445393.193,815.3,815.15,815.45
547.36,835.02,309.87,442,-13.0715,0.8723,4446106.653,819.26,819.11,819.41
